frame,time_sec,THUMB_MCP_x,THUMB_MCP_y,THUMB_PIP_x,THUMB_PIP_y,THUMB_DIP_x,THUMB_DIP_y,THUMB_TIP_x,THUMB_TIP_y,INDEX_MCP_x,INDEX_MCP_y,INDEX_PIP_x,INDEX_PIP_y,INDEX_DIP_x,INDEX_DIP_y,INDEX_TIP_x,INDEX_TIP_y,MIDDLE_MCP_x,MIDDLE_MCP_y,MIDDLE_PIP_x,MIDDLE_PIP_y,MIDDLE_DIP_x,MIDDLE_DIP_y,MIDDLE_TIP_x,MIDDLE_TIP_y,RING_MCP_x,RING_MCP_y,RING_PIP_x,RING_PIP_y,RING_DIP_x,RING_DIP_y,RING_TIP_x,RING_TIP_y,PINKY_MCP_x,PINKY_MCP_y,PINKY_PIP_x,PINKY_PIP_y,PINKY_DIP_x,PINKY_DIP_y,PINKY_TIP_x,PINKY_TIP_y,Cluster
59,1.9686353019686353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.002002002002002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2.0353687020353686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2.0687354020687354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.1021021021021022,189.71450805664062,255.61148643493652,187.8908920288086,248.94639015197754,188.57486724853516,263.42785835266113,189.49010848999023,262.1202564239502,183.64984512329102,221.9463586807251,158.85019302368164,257.2619819641113,135.43174743652344,250.74688911437988,158.20757865905762,231.0540246963501,195.45015335083008,199.08047676086426,149.53031539916992,238.6763334274292,145.42667388916016,221.72500133514404,173.1839370727539,202.37947940826416,187.11448669433594,191.84134483337402,142.15388298034668,220.89966773986816,138.64371299743652,208.74868869781494,165.37372589111328,193.41051578521729,141.8249225616455,188.9490795135498,135.171537399292,207.0453929901123,117.74757385253906,201.6903305053711,128.20314407348633,191.34256839752197,1.0
64,2.135468802135469,159.1612148284912,173.40642929077148,197.90878295898438,222.22718238830566,182.11044311523438,200.94560623168945,168.2632827758789,185.7228183746338,146.2382698059082,183.09033393859863,139.0491771697998,212.33907222747803,119.13090705871582,199.95019912719727,130.24311065673828,187.37128257751465,184.95849609375,189.7668170928955,138.64460945129395,228.90363693237305,135.94215393066406,211.44227027893066,163.35870742797852,194.9678134918213,194.84642028808594,211.93240642547607,145.9542465209961,245.7495403289795,153.9170742034912,226.2916660308838,177.8264045715332,213.8643980026245,189.30047988891602,242.2419261932373,157.5596523284912,263.3225440979004,165.2788543701172,247.15702056884766,179.80499267578125,240.6020164489746,1.0
65,2.1688355021688355,157.8426170349121,176.8704128265381,195.85655212402344,228.93067359924316,180.28810501098633,203.37804794311523,166.74259185791016,187.1729278564453,156.0598659515381,173.79708766937256,138.36338996887207,206.25743865966797,117.12495803833008,194.72986221313477,137.551851272583,181.27100944519043,177.0146942138672,189.7913360595703,136.97089195251465,223.5275173187256,127.69075393676758,210.06324291229248,156.84165000915527,195.26676177978516,190.60274124145508,212.1855354309082,140.87685585021973,243.39632034301758,142.94577598571777,228.14958572387695,171.90011978149414,215.56092739105225,177.53154754638672,244.34005737304688,148.50308418273926,264.5057487487793,149.04184341430664,252.01014518737793,165.42570114135742,244.39401626586914,1.0
66,2.2022022022022023,145.9154987335205,164.26490306854248,180.46844482421875,226.49552822113037,168.73220443725586,196.24706268310547,157.3366355895996,175.6230068206787,133.10006141662598,165.93998908996582,126.36527061462402,201.23931884765625,102.5387954711914,192.51357078552246,115.96871376037598,176.6393280029297,156.79140090942383,183.04916381835938,122.24467277526855,218.76118183135986,104.07183647155762,206.33324146270752,132.3800277709961,189.4645071029663,165.84815979003906,206.32440090179443,123.60343933105469,238.79010200500488,116.72688484191895,223.1019687652588,145.2017307281494,209.6980333328247,154.42620277404785,243.64686012268066,129.98839378356934,259.9391841888428,128.76693725585938,247.3868751525879,143.3365821838379,241.36805534362793,1.0
67,2.235568902235569,109.34305191040039,160.9425973892212,179.72824096679688,199.33303356170654,154.70927238464355,174.94471549987793,131.4584732055664,161.1214542388916,99.6407699584961,180.43184280395508,116.71976089477539,198.15892696380615,82.52384185791016,201.87603950500488,85.89668273925781,189.02170658111572,141.4735984802246,182.27605819702148,116.60707473754883,216.0999870300293,92.33662605285645,209.19044494628906,115.97942352294922,189.8303461074829,153.93301963806152,203.49793910980225,122.67331123352051,235.27360439300537,108.29597473144531,224.16880130767822,133.16076278686523,208.0252504348755,149.74312782287598,239.280366897583,133.1938362121582,255.36486625671387,123.71902465820312,245.46372413635254,137.43853569030762,237.58867263793945,0.0
68,2.2689356022689355,115.31054496765137,153.04975032806396,189.35174942016602,182.75400638580322,162.0861053466797,152.17785358428955,134.8214340209961,140.53813934326172,111.4332103729248,173.65283489227295,117.93228149414062,189.89089965820312,83.9798641204834,199.14175987243652,93.69400024414062,183.07265281677246,141.09519958496094,183.5896110534668,119.84499931335449,210.72004795074463,92.16001510620117,210.40396213531494,116.19335174560547,189.9695348739624,154.67512130737305,203.36392879486084,126.50124549865723,232.46603965759277,109.85414505004883,225.7624912261963,133.91493797302246,207.61314868927002,150.9695529937744,238.62167358398438,136.27681732177734,254.93745803833008,123.14482688903809,249.2500877380371,136.3579273223877,238.544340133667,0.0
